ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,22.13%
40,Combination Sum II,/problems/combination-sum-ii,N,53.3%,Medium,11.09%
68,Text Justification,/problems/text-justification,N,36.8%,Hard,8.24%
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,3.90%
160,Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,N,53.4%,Easy,5.25%
251,Flatten 2D Vector,/problems/flatten-2d-vector,Y,48.9%,Medium,49.53%
269,Alien Dictionary,/problems/alien-dictionary,Y,35.3%,Hard,86.47%
336,Palindrome Pairs,/problems/palindrome-pairs,N,35.2%,Hard,63.06%
341,Flatten Nested List Iterator,/problems/flatten-nested-list-iterator,N,61.6%,Medium,17.73%
354,Russian Doll Envelopes,/problems/russian-doll-envelopes,N,38.3%,Hard,8.36%
432,All O`one Data Structure,/problems/all-oone-data-structure,N,36.7%,Hard,36.95%
751,IP to CIDR,/problems/ip-to-cidr,Y,54.7%,Medium,38.39%
755,Pour Water,/problems/pour-water,Y,46.2%,Medium,100.00%
773,Sliding Puzzle,/problems/sliding-puzzle,N,63.9%,Hard,67.68%
787,Cheapest Flights Within K Stops,/problems/cheapest-flights-within-k-stops,N,35.9%,Medium,36.47%
864,Shortest Path to Get All Keys,/problems/shortest-path-to-get-all-keys,N,45.4%,Hard,74.84%
992,Subarrays with K Different Integers,/problems/subarrays-with-k-different-integers,N,54.4%,Hard,11.08%
1257,Smallest Common Region,/problems/smallest-common-region,Y,64.2%,Medium,31.25%
1235,Maximum Profit in Job Scheduling,/problems/maximum-profit-in-job-scheduling,N,51.2%,Hard,21.15%
1166,Design File System, /problems/design-file-system,N,56.8%,Medium,2.72%
166,Fraction to Recurring Decimal, /problems/fraction-to-recurring-decimal,N,21.6%,Medium,1.66%
324,Wiggle Sort II, /problems/wiggle-sort-ii,N,29.9%,Medium,1.30%
875,Koko Eating Bananas, /problems/koko-eating-bananas,N,52.1%,Medium,1.21%
42,Trapping Rain Water, /problems/trapping-rain-water,N,48.9%,Hard,1.10%
1,Two Sum, /problems/two-sum,N,45.6%,Easy,1.09%
1058,Minimize Rounding Error to Meet Target, /problems/minimize-rounding-error-to-meet-target,N,41.7%,Medium,1.04%
759,Employee Free Time, /problems/employee-free-time,N,66.2%,Hard,0.92%
756,Pyramid Transition Matrix, /problems/pyramid-transition-matrix,N,54.6%,Medium,0.84%
843,Guess the Word, /problems/guess-the-word,N,46.1%,Hard,0.45%
212,Word Search II, /problems/word-search-ii,N,34.9%,Hard,0.35%
588,Design In-Memory File System, /problems/design-in-memory-file-system,N,45.9%,Hard,0.32%
322,Coin Change, /problems/coin-change,N,35.5%,Medium,0.26%
2,Add Two Numbers, /problems/add-two-numbers,N,33.9%,Medium,0.25%
10,Regular Expression Matching, /problems/regular-expression-matching,N,26.8%,Hard,0.23%
299,Bulls and Cows, /problems/bulls-and-cows,N,42.4%,Easy,0.18%
219,Contains Duplicate II, /problems/contains-duplicate-ii,N,37.7%,Easy,0.15%
385,Mini Parser, /problems/mini-parser,N,33.8%,Medium,0.13%
198,House Robber, /problems/house-robber,N,42.0%,Easy,0.13%
5,Longest Palindromic Substring, /problems/longest-palindromic-substring,N,29.5%,Medium,0.12%
220,Contains Duplicate III, /problems/contains-duplicate-iii,N,20.9%,Medium,0.10%
280,Wiggle Sort, /problems/wiggle-sort,N,63.8%,Medium,0.10%
236,Lowest Common Ancestor of a Binary Tree, /problems/lowest-common-ancestor-of-a-binary-tree,N,45.7%,Medium,0.07%
20,Valid Parentheses, /problems/valid-parentheses,N,39.0%,Easy,0.07%
4,Median of Two Sorted Arrays, /problems/median-of-two-sorted-arrays,N,29.6%,Hard,0.06%
202,Happy Number, /problems/happy-number,N,50.4%,Easy,0.04%
21,Merge Two Sorted Lists, /problems/merge-two-sorted-lists,N,53.5%,Easy,0.04%
136,Single Number, /problems/single-number,N,65.5%,Easy,0.03%
108,Convert Sorted Array to Binary Search Tree, /problems/convert-sorted-array-to-binary-search-tree,N,57.9%,Easy,0.03%
23,Merge k Sorted Lists, /problems/merge-k-sorted-lists,N,40.2%,Hard,0.03%
215,Kth Largest Element in an Array, /problems/kth-largest-element-in-an-array,N,55.4%,Medium,0.02%
622,Design Circular Queue, /problems/design-circular-queue,N,43.7%,Medium,0.02%
221,Maximal Square, /problems/maximal-square,N,37.7%,Medium,0.02%
217,Contains Duplicate, /problems/contains-duplicate,N,56.0%,Easy,0.02%
211,Add and Search Word - Data structure design, /problems/add-and-search-word-data-structure-design,N,38.1%,Medium,0.01%
953,Verifying an Alien Dictionary, /problems/verifying-an-alien-dictionary,N,54.1%,Easy,0.01%
190,Reverse Bits, /problems/reverse-bits,N,39.8%,Easy,0.01%
34,Find First and Last Position of Element in Sorted Array, /problems/find-first-and-last-position-of-element-in-sorted-array,N,36.2%,Medium,0.00%
227,Basic Calculator II, /problems/basic-calculator-ii,N,36.9%,Medium,0.00%
415,Add Strings, /problems/add-strings,N,47.5%,Easy,0.00%
1017,Convert to Base -2, /problems/convert-to-base-2,N,59.0%,Medium,0.00%
1041,Robot Bounded In Circle, /problems/robot-bounded-in-circle,N,49.6%,Medium,0.00%
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix, /problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,N,69.5%,Hard,0.00%
1298,Maximum Candies You Can Get from Boxes, /problems/maximum-candies-you-can-get-from-boxes,N,58.8%,Hard,0.00%
