ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
1,Two Sum,/problems/two-sum,N,49.1%,Easy,9.92%
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,10.55%
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,27.13%
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,10.84%
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,6.58%
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,1.6%
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,2.51%
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,0.93%
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,1.26%
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,1.5%
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,4.01%
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,6.79%
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,0.3%
15,3Sum,/problems/3sum,N,32.3%,Medium,5.54%
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,2.63%
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,0.81%
18,4Sum,/problems/4sum,N,36.4%,Medium,4.93%
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,1.01%
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,10.63%
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,1.56%
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,6.41%
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,0.91%
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,5.74%
28,Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.6%,Medium,3.04%
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,0.95%
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,7.91%
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,9.38%
