ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,3.33%
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,3.67%
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,6.48%
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,3.09%
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,2.57%
57,Insert Interval,/problems/insert-interval,N,38.0%,Medium,5.07%
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,4.14%
163,Missing Ranges,/problems/missing-ranges,Y,32.0%,Easy,44.43%
207,Course Schedule,/problems/course-schedule,N,45.4%,Medium,7.51%
210,Course Schedule II,/problems/course-schedule-ii,N,48.0%,Medium,11.65%
224,Basic Calculator,/problems/basic-calculator,N,41.2%,Hard,23.58%
333,Largest BST Subtree,/problems/largest-bst-subtree,Y,42.5%,Medium,70.14%
347,Top K Frequent Elements,/problems/top-k-frequent-elements,N,64.8%,Medium,3.05%
354,Russian Doll Envelopes,/problems/russian-doll-envelopes,N,38.3%,Hard,23.79%
394,Decode String,/problems/decode-string,N,57.6%,Medium,23.58%
695,Max Area of Island,/problems/max-area-of-island,N,71.7%,Medium,6.36%
722,Remove Comments,/problems/remove-comments,N,38.0%,Medium,56.09%
739,Daily Temperatures,/problems/daily-temperatures,N,66.6%,Medium,7.07%
854,K-Similar Strings,/problems/k-similar-strings,N,40.2%,Hard,73.54%
1031,Maximum Sum of Two Non-Overlapping Subarrays,/problems/maximum-sum-of-two-non-overlapping-subarrays,N,59.4%,Medium,51.46%
1444,Number of Ways of Cutting a Pizza,/problems/number-of-ways-of-cutting-a-pizza,N,58.0%,Hard,100.0%
1824,Minimum Sideway Jumps,/problems/minimum-sideway-jumps,N,49.6%,Medium,79.36%
