ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,1.62%
46,Permutations,/problems/permutations,N,74.9%,Medium,1.17%
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,0.36%
209,Minimum Size Subarray Sum,/problems/minimum-size-subarray-sum,N,44.5%,Medium,1.95%
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,46.6%,Hard,3.97%
370,Range Addition,/problems/range-addition,Y,70.9%,Medium,65.03%
380,Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,N,52.0%,Medium,3.49%
490,The Maze,/problems/the-maze,Y,55.4%,Medium,14.18%
560,Subarray Sum Equals K,/problems/subarray-sum-equals-k,N,44.0%,Medium,1.72%
735,Asteroid Collision,/problems/asteroid-collision,N,44.4%,Medium,4.44%
867,Transpose Matrix,/problems/transpose-matrix,N,63.4%,Easy,6.95%
910,Smallest Range II,/problems/smallest-range-ii,N,34.6%,Medium,49.16%
974,Subarray Sums Divisible by K,/problems/subarray-sums-divisible-by-k,N,53.6%,Medium,100.0%
2361,Minimum Costs Using the Train Line,/problems/minimum-costs-using-the-train-line,Y,76.9%,Hard,59.48%
