ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,4.54%
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,17.70%
55,Jump Game,/problems/jump-game,N,38.5%,Medium,16.77%
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,34.96%
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,22.67%
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,68.40%
208,Implement Trie (Prefix Tree),/problems/implement-trie-prefix-tree,N,61.0%,Medium,36.80%
232,Implement Queue using Stacks,/problems/implement-queue-using-stacks,N,61.3%,Easy,32.96%
529,Minesweeper,/problems/minesweeper,N,65.5%,Medium,100.00%
836,Rectangle Overlap,/problems/rectangle-overlap,N,43.6%,Easy,9.32%
92,Reverse Linked List II,/problems/reverse-linked-list-ii,N,38.8%,Medium,0.06%
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.06%
71,Simplify Path,/problems/simplify-path,N,32.6%,Medium,0.04%
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,N,43.1%,Medium,0.03%
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.01%
242,Valid Anagram,/problems/valid-anagram,N,56.9%,Easy,0.00%
2,Add Two Numbers,/problems/add-two-numbers,N,33.9%,Medium,0.00%
79,Word Search,/problems/word-search,N,35.6%,Medium,0.00%
