ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
1,Two Sum,/problems/two-sum,N,49.1%,Easy,2.44%
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,2.74%
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,1.1%
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,1.65%
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,1.43%
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,5.68%
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,1.88%
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,6.02%
152,Maximum Product Subarray,/problems/maximum-product-subarray,N,34.9%,Medium,2.16%
155,Min Stack,/problems/min-stack,N,51.9%,Medium,9.47%
230,Kth Smallest Element in a BST,/problems/kth-smallest-element-in-a-bst,N,69.4%,Medium,6.39%
336,Palindrome Pairs,/problems/palindrome-pairs,N,35.2%,Hard,100.0%
416,Partition Equal Subset Sum,/problems/partition-equal-subset-sum,N,46.6%,Medium,14.42%
443,String Compression,/problems/string-compression,N,48.9%,Medium,9.8%
455,Assign Cookies,/problems/assign-cookies,N,50.5%,Easy,51.54%
468,Validate IP Address,/problems/validate-ip-address,N,26.5%,Medium,20.32%
560,Subarray Sum Equals K,/problems/subarray-sum-equals-k,N,44.0%,Medium,10.54%
695,Max Area of Island,/problems/max-area-of-island,N,71.7%,Medium,3.9%
992,Subarrays with K Different Integers,/problems/subarrays-with-k-different-integers,N,54.4%,Hard,36.12%
1010,Pairs of Songs With Total Durations Divisible by 60,/problems/pairs-of-songs-with-total-durations-divisible-by-60,N,52.9%,Medium,27.99%
1197,Minimum Knight Moves,/problems/minimum-knight-moves,Y,39.7%,Medium,31.54%
1094,Car Pooling,/problems/car-pooling,N,57.3%,Medium,17.74%
1200,Minimum Absolute Difference,/problems/minimum-absolute-difference,N,69.7%,Easy,14.27%
1326,Minimum Number of Taps to Open to Water a Garden,/problems/minimum-number-of-taps-to-open-to-water-a-garden,N,47.7%,Hard,70.87%
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,N,53.2%,Medium,90.19%
