ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
36,Valid Sudoku,/problems/valid-sudoku,N,56.9%,Medium,9.46%
68,Text Justification,/problems/text-justification,N,36.8%,Hard,18.66%
79,Word Search,/problems/word-search,N,39.8%,Medium,18.61%
212,Word Search II,/problems/word-search-ii,N,36.9%,Hard,2.48%
236,Lowest Common Ancestor of a Binary Tree,/problems/lowest-common-ancestor-of-a-binary-tree,N,58.1%,Medium,7.54%
362,Design Hit Counter,/problems/design-hit-counter,Y,68.4%,Medium,15.06%
718,Maximum Length of Repeated Subarray,/problems/maximum-length-of-repeated-subarray,N,51.5%,Medium,48.4%
733,Flood Fill,/problems/flood-fill,N,60.6%,Easy,2.35%
811,Subdomain Visit Count,/problems/subdomain-visit-count,N,75.2%,Medium,100.0%
1160,Find Words That Can Be Formed by Characters,/problems/find-words-that-can-be-formed-by-characters,N,67.7%,Easy,70.26%
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,N,47.3%,Medium,68.32%
1654,Minimum Jumps to Reach Home,/problems/minimum-jumps-to-reach-home,N,28.7%,Medium,13.28%
2133,Check if Every Row and Column Contains All Numbers,/problems/check-if-every-row-and-column-contains-all-numbers,N,52.8%,Easy,17.11%
