ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,0.68%
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,0.35%
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,0.86%
166,Fraction to Recurring Decimal,/problems/fraction-to-recurring-decimal,N,24.1%,Medium,19.52%
322,Coin Change,/problems/coin-change,N,41.6%,Medium,3.75%
453,Minimum Moves to Equal Array Elements,/problems/minimum-moves-to-equal-array-elements,N,55.7%,Medium,47.57%
526,Beautiful Arrangement,/problems/beautiful-arrangement,N,64.6%,Medium,100.0%
560,Subarray Sum Equals K,/problems/subarray-sum-equals-k,N,44.0%,Medium,8.92%
697,Degree of an Array,/problems/degree-of-an-array,N,55.9%,Easy,10.49%
741,Cherry Pickup,/problems/cherry-pickup,N,36.3%,Hard,89.78%
1004,Max Consecutive Ones III,/problems/max-consecutive-ones-iii,N,63.4%,Medium,3.7%
1048,Longest String Chain,/problems/longest-string-chain,N,59.1%,Medium,23.9%
1356,Sort Integers by The Number of 1 Bits,/problems/sort-integers-by-the-number-of-1-bits,N,72.0%,Easy,8.47%
1696,Jump Game VI,/problems/jump-game-vi,N,46.3%,Medium,66.11%
