ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
1,Two Sum,/problems/two-sum,N,49.1%,Easy,16.94%
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,12.5%
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,14.97%
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,23.42%
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,9.97%
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,1.39%
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,5.74%
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,25.52%
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,1.3%
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,1.64%
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,18.01%
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,5.11%
15,3Sum,/problems/3sum,N,32.3%,Medium,8.39%
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,1.84%
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,41.96%
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,1.53%
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,8.68%
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,1.53%
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,7.06%
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,7.72%
24,Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,N,60.5%,Medium,14.08%
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,34.08%
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,50.9%,Easy,1.91%
28,Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.6%,Medium,1.22%
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,1.59%
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,N,32.7%,Hard,5.43%
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,14.22%
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,2.33%
