ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,0.67%
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,2.03%
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,1.41%
45,Jump Game II,/problems/jump-game-ii,N,38.6%,Medium,1.86%
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,4.28%
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,N,42.2%,Hard,3.02%
91,Decode Ways,/problems/decode-ways,N,32.3%,Medium,2.49%
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,N,31.8%,Medium,0.86%
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,0.43%
199,Binary Tree Right Side View,/problems/binary-tree-right-side-view,N,61.2%,Medium,2.43%
238,Product of Array Except Self,/problems/product-of-array-except-self,N,64.7%,Medium,1.04%
339,Nested List Weight Sum,/problems/nested-list-weight-sum,Y,82.2%,Medium,16.32%
354,Russian Doll Envelopes,/problems/russian-doll-envelopes,N,38.3%,Hard,10.37%
423,Reconstruct Original Digits from English,/problems/reconstruct-original-digits-from-english,N,51.3%,Medium,55.34%
435,Non-overlapping Intervals,/problems/non-overlapping-intervals,N,49.9%,Medium,3.94%
502,IPO,/problems/ipo,N,44.9%,Hard,60.97%
691,Stickers to Spell Word,/problems/stickers-to-spell-word,N,46.3%,Hard,100.0%
875,Koko Eating Bananas,/problems/koko-eating-bananas,N,52.2%,Medium,13.8%
994,Rotting Oranges,/problems/rotting-oranges,N,52.5%,Medium,4.81%
