ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
1,Two Sum,/problems/two-sum,N,49.1%,Easy,4.16%
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,14.47%
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,23.85%
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,57.79%
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,36.52%
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,78.73%
189,Rotate Array,/problems/rotate-array,N,39.2%,Medium,31.38%
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,100.00%
204,Count Primes,/problems/count-primes,N,33.1%,Medium,74.22%
1349,Maximum Students Taking Exam, /problems/maximum-students-taking-exam,N,42.0%,Hard,0.29%
1341,Movie Rating, /problems/movie-rating,N,56.6%,Medium,0.20%
1283,Find the Smallest Divisor Given a Threshold, /problems/find-the-smallest-divisor-given-a-threshold,N,47.6%,Medium,0.10%
146,LRU Cache, /problems/lru-cache,N,33.2%,Medium,0.09%
738,Monotone Increasing Digits, /problems/monotone-increasing-digits,N,44.3%,Medium,0.08%
283,Move Zeroes, /problems/move-zeroes,N,57.8%,Easy,0.06%
5,Longest Palindromic Substring, /problems/longest-palindromic-substring,N,29.5%,Medium,0.06%
240,Search a 2D Matrix II, /problems/search-a-2d-matrix-ii,N,43.2%,Medium,0.05%
8,String to Integer (atoi), /problems/string-to-integer-atoi,N,15.4%,Medium,0.05%
509,Fibonacci Number, /problems/fibonacci-number,N,67.2%,Easy,0.04%
160,Intersection of Two Linked Lists, /problems/intersection-of-two-linked-lists,N,40.6%,Easy,0.04%
559,Maximum Depth of N-ary Tree, /problems/maximum-depth-of-n-ary-tree,N,68.7%,Easy,0.04%
1048,Longest String Chain, /problems/longest-string-chain,N,54.7%,Medium,0.04%
53,Maximum Subarray, /problems/maximum-subarray,N,46.5%,Easy,0.04%
56,Merge Intervals, /problems/merge-intervals,N,39.3%,Medium,0.04%
20,Valid Parentheses, /problems/valid-parentheses,N,39.0%,Easy,0.04%
209,Minimum Size Subarray Sum, /problems/minimum-size-subarray-sum,N,38.2%,Medium,0.03%
917,Reverse Only Letters, /problems/reverse-only-letters,N,58.0%,Easy,0.03%
322,Coin Change, /problems/coin-change,N,35.5%,Medium,0.02%
199,Binary Tree Right Side View, /problems/binary-tree-right-side-view,N,54.1%,Medium,0.02%
121,Best Time to Buy and Sell Stock, /problems/best-time-to-buy-and-sell-stock,N,50.5%,Easy,0.02%
3,Longest Substring Without Repeating Characters, /problems/longest-substring-without-repeating-characters,N,30.4%,Medium,0.02%
23,Merge k Sorted Lists, /problems/merge-k-sorted-lists,N,40.2%,Hard,0.02%
102,Binary Tree Level Order Traversal, /problems/binary-tree-level-order-traversal,N,54.6%,Medium,0.01%
24,Swap Nodes in Pairs, /problems/swap-nodes-in-pairs,N,50.4%,Medium,0.01%
94,Binary Tree Inorder Traversal, /problems/binary-tree-inorder-traversal,N,63.3%,Medium,0.01%
273,Integer to English Words, /problems/integer-to-english-words,N,27.1%,Hard,0.01%
98,Validate Binary Search Tree, /problems/validate-binary-search-tree,N,27.8%,Medium,0.01%
46,Permutations, /problems/permutations,N,63.5%,Medium,0.01%
16,3Sum Closest, /problems/3sum-closest,N,46.0%,Medium,0.01%
116,Populating Next Right Pointers in Each Node, /problems/populating-next-right-pointers-in-each-node,N,45.2%,Medium,0.01%
41,First Missing Positive, /problems/first-missing-positive,N,32.0%,Hard,0.01%
104,Maximum Depth of Binary Tree, /problems/maximum-depth-of-binary-tree,N,66.0%,Easy,0.01%
35,Search Insert Position, /problems/search-insert-position,N,42.6%,Easy,0.00%
22,Generate Parentheses, /problems/generate-parentheses,N,62.7%,Medium,0.00%
238,Product of Array Except Self, /problems/product-of-array-except-self,N,60.1%,Medium,0.00%
101,Symmetric Tree, /problems/symmetric-tree,N,46.8%,Easy,0.00%
