ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
68,Text Justification,/problems/text-justification,N,36.8%,Hard,100.00%
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,46.6%,Hard,37.55%
380,Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,N,52.0%,Medium,62.45%
433,Minimum Genetic Mutation, /problems/minimum-genetic-mutation,N,41.8%,Medium,3.64%
635,Design Log Storage System, /problems/design-log-storage-system,N,58.6%,Medium,2.70%
780,Reaching Points, /problems/reaching-points,N,29.4%,Hard,1.75%
341,Flatten Nested List Iterator, /problems/flatten-nested-list-iterator,N,52.9%,Medium,1.71%
256,Paint House, /problems/paint-house,N,52.1%,Easy,1.69%
296,Best Meeting Point, /problems/best-meeting-point,N,57.5%,Hard,1.66%
57,Insert Interval, /problems/insert-interval,N,33.5%,Hard,1.28%
608,Tree Node, /problems/tree-node,N,67.1%,Medium,1.20%
355,Design Twitter, /problems/design-twitter,N,30.3%,Medium,1.15%
269,Alien Dictionary, /problems/alien-dictionary,N,33.3%,Hard,1.10%
468,Validate IP Address, /problems/validate-ip-address,N,24.1%,Medium,1.09%
585,Investments in 2016, /problems/investments-in-2016,N,54.7%,Medium,0.92%
647,Palindromic Substrings, /problems/palindromic-substrings,N,60.6%,Medium,0.77%
679,24 Game, /problems/24-game,N,46.4%,Hard,0.75%
20,Valid Parentheses, /problems/valid-parentheses,N,39.0%,Easy,0.68%
831,Masking Personal Information, /problems/masking-personal-information,N,44.1%,Medium,0.57%
920,Number of Music Playlists, /problems/number-of-music-playlists,N,46.5%,Hard,0.56%
547,Friend Circles, /problems/friend-circles,N,58.6%,Medium,0.53%
580,Count Student Number in Departments, /problems/count-student-number-in-departments,N,48.7%,Medium,0.49%
146,LRU Cache, /problems/lru-cache,N,33.2%,Medium,0.38%
161,One Edit Distance, /problems/one-edit-distance,N,32.3%,Medium,0.37%
56,Merge Intervals, /problems/merge-intervals,N,39.3%,Medium,0.35%
295,Find Median from Data Stream, /problems/find-median-from-data-stream,N,44.3%,Hard,0.32%
307,Range Sum Query - Mutable, /problems/range-sum-query-mutable,N,34.6%,Medium,0.31%
42,Trapping Rain Water, /problems/trapping-rain-water,N,48.9%,Hard,0.30%
1326,Minimum Number of Taps to Open to Water a Garden, /problems/minimum-number-of-taps-to-open-to-water-a-garden,N,43.6%,Hard,0.28%
218,The Skyline Problem, /problems/the-skyline-problem,N,34.6%,Hard,0.27%
945,Minimum Increment to Make Array Unique, /problems/minimum-increment-to-make-array-unique,N,46.3%,Medium,0.27%
149,Max Points on a Line, /problems/max-points-on-a-line,N,16.9%,Hard,0.27%
