ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
1,Two Sum,/problems/two-sum,N,49.1%,Easy,2.23%
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,2.74%
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,2.64%
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,5.84%
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,3.65%
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,0.47%
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,0.44%
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,0.57%
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,2.04%
15,3Sum,/problems/3sum,N,32.3%,Medium,2.14%
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,1.38%
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,5.26%
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,0.98%
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,1.16%
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,3.55%
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,3.89%
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,50.9%,Easy,0.37%
27,Remove Element,/problems/remove-element,N,52.2%,Easy,0.54%
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,1.08%
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,4.46%
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,0.54%
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,6.34%
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,0.41%
36,Valid Sudoku,/problems/valid-sudoku,N,56.9%,Medium,5.55%
37,Sudoku Solver,/problems/sudoku-solver,N,56.8%,Hard,3.09%
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,5.9%
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,3.44%
45,Jump Game II,/problems/jump-game-ii,N,38.6%,Medium,1.2%
46,Permutations,/problems/permutations,N,74.9%,Medium,0.89%
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,3.26%
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,2.61%
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,0.84%
51,N-Queens,/problems/n-queens,N,63.1%,Hard,2.75%
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,0.86%
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,0.98%
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,17.57%
64,Minimum Path Sum,/problems/minimum-path-sum,N,60.7%,Medium,4.37%
68,Text Justification,/problems/text-justification,N,36.8%,Hard,46.85%
70,Climbing Stairs,/problems/climbing-stairs,N,51.8%,Easy,0.37%
79,Word Search,/problems/word-search,N,39.8%,Medium,21.96%
91,Decode Ways,/problems/decode-ways,N,32.3%,Medium,1.61%
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,N,31.8%,Medium,1.23%
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,0.62%
122,Best Time to Buy and Sell Stock II,/problems/best-time-to-buy-and-sell-stock-ii,N,63.4%,Medium,2.63%
127,Word Ladder,/problems/word-ladder,N,36.7%,Hard,2.29%
135,Candy,/problems/candy,N,40.8%,Hard,18.01%
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,2.55%
149,Max Points on a Line,/problems/max-points-on-a-line,N,21.8%,Hard,5.23%
153,Find Minimum in Rotated Sorted Array,/problems/find-minimum-in-rotated-sorted-array,N,48.5%,Medium,0.99%
162,Find Peak Element,/problems/find-peak-element,N,46.2%,Medium,7.07%
167,Two Sum II - Input Array Is Sorted,/problems/two-sum-ii-input-array-is-sorted,N,60.0%,Medium,3.08%
180,Consecutive Numbers,/problems/consecutive-numbers,N,46.8%,Medium,4.42%
181,Employees Earning More Than Their Managers,/problems/employees-earning-more-than-their-managers,N,68.6%,Easy,2.07%
188,Best Time to Buy and Sell Stock IV,/problems/best-time-to-buy-and-sell-stock-iv,N,38.0%,Hard,4.84%
196,Delete Duplicate Emails,/problems/delete-duplicate-emails,N,59.0%,Easy,1.54%
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,15.7%
205,Isomorphic Strings,/problems/isomorphic-strings,N,42.6%,Easy,1.28%
206,Reverse Linked List,/problems/reverse-linked-list,N,72.5%,Easy,0.32%
207,Course Schedule,/problems/course-schedule,N,45.4%,Medium,3.64%
210,Course Schedule II,/problems/course-schedule-ii,N,48.0%,Medium,1.52%
212,Word Search II,/problems/word-search-ii,N,36.9%,Hard,38.07%
214,Shortest Palindrome,/problems/shortest-palindrome,N,32.2%,Hard,8.23%
217,Contains Duplicate,/problems/contains-duplicate,N,61.3%,Easy,0.67%
226,Invert Binary Tree,/problems/invert-binary-tree,N,73.3%,Easy,0.69%
227,Basic Calculator II,/problems/basic-calculator-ii,N,42.2%,Medium,3.87%
