ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,0.61%
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,2.61%
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,0.92%
15,3Sum,/problems/3sum,N,32.3%,Medium,3.76%
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,0.67%
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,10.48%
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,7.05%
46,Permutations,/problems/permutations,N,74.9%,Medium,2.41%
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,4.06%
55,Jump Game,/problems/jump-game,N,38.5%,Medium,5.13%
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,4.31%
57,Insert Interval,/problems/insert-interval,N,38.0%,Medium,3.85%
79,Word Search,/problems/word-search,N,39.8%,Medium,6.99%
97,Interleaving String,/problems/interleaving-string,N,37.1%,Medium,19.93%
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,4.86%
139,Word Break,/problems/word-break,N,45.5%,Medium,3.37%
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,6.86%
198,House Robber,/problems/house-robber,N,48.8%,Medium,1.99%
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,9.76%
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,65.8%,Medium,2.91%
238,Product of Array Except Self,/problems/product-of-array-except-self,N,64.7%,Medium,4.00%
253,Meeting Rooms II,/problems/meeting-rooms-ii,Y,50.5%,Medium,20.95%
322,Coin Change,/problems/coin-change,N,41.6%,Medium,2.17%
373,Find K Pairs with Smallest Sums,/problems/find-k-pairs-with-smallest-sums,N,38.3%,Medium,20.51%
387,First Unique Character in a String,/problems/first-unique-character-in-a-string,N,59.0%,Easy,2.76%
437,Path Sum III,/problems/path-sum-iii,N,48.7%,Medium,9.12%
811,Subdomain Visit Count,/problems/subdomain-visit-count,N,75.2%,Medium,41.93%
863,All Nodes Distance K in Binary Tree,/problems/all-nodes-distance-k-in-binary-tree,N,62.1%,Medium,24.92%
1986,Minimum Number of Work Sessions to Finish the Tasks,/problems/minimum-number-of-work-sessions-to-finish-the-tasks,N,33.1%,Medium,67.41%
2038,Remove Colored Pieces if Both Neighbors are the Same Color,/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,N,58.1%,Medium,74.53%
2068,Check Whether Two Strings are Almost Equivalent,/problems/check-whether-two-strings-are-almost-equivalent,N,64.6%,Easy,100.00%
