ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
1,Two Sum,/problems/two-sum,N,49.1%,Easy,0.82%
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,1.98%
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,13.19%
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,9.02%
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,N,31.8%,Medium,10.69%
113,Path Sum II,/problems/path-sum-ii,N,56.7%,Medium,24.25%
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,22.17%
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,11.94%
240,Search a 2D Matrix II,/problems/search-a-2d-matrix-ii,N,50.6%,Medium,17.66%
299,Bulls and Cows,/problems/bulls-and-cows,N,48.7%,Medium,33.89%
387,First Unique Character in a String,/problems/first-unique-character-in-a-string,N,59.0%,Easy,68.7%
981,Time Based Key-Value Store,/problems/time-based-key-value-store,N,53.4%,Medium,33.6%
1209,Remove All Adjacent Duplicates in String II,/problems/remove-all-adjacent-duplicates-in-string-ii,N,56.0%,Medium,37.41%
1762,Buildings With an Ocean View,/problems/buildings-with-an-ocean-view,Y,79.2%,Medium,100.0%
